# source,"PS5 capture of race session 49, in-game tyre-wear gauge read off the HUD"
# method,"red fill fraction of each of the four HUD bars; +-4% quantisation (bar is ~24 px tall at 720p, yuv420 halves it)"
# car,Lamborghini Huracan GT3 15
# circuit,"Watkins Glen International, Long Course"
# compound,RS
# tyre_wear_mult,2x
# stint1,laps 1-13 (stop during 13)
# stint2,laps 13-20
video_t_s,race_lap,wear_fl,wear_fr,wear_rl,wear_rr
446,4.1892,0.2466,0.1644,0.2534,0.1786
448,4.2085,0.2466,0.1644,0.2534,0.1786
450,4.2278,0.2466,0.1644,0.2534,0.1786
452,4.2472,0.2143,0.1644,0.2534,0.1786
454,4.2665,0.2143,0.1644,0.2534,0.1786
456,4.2858,0.2466,0.1644,0.2534,0.1786
458,4.3051,0.2466,0.1644,0.2534,0.1786
460,4.3244,0.2466,0.1644,0.2534,0.1786
462,4.3437,0.2466,0.1644,0.2534,0.1786
464,4.363,0.2466,0.1644,0.2534,0.1786
466,4.3823,0.2466,0.1644,0.2534,0.1786
468,4.4016,0.2466,0.1644,0.2643,0.1786
470,4.4209,0.2466,0.1644,0.2643,0.1786
472,4.4402,0.2466,0.1644,0.2643,0.1786
474,4.4595,0.2466,0.1644,0.2643,0.1786
476,4.4788,0.2466,0.1714,0.2643,0.1786
478,4.4981,0.2466,0.1644,0.2643,0.2434
480,4.5174,0.2466,0.1714,0.2643,0.2434
482,4.5367,0.2466,0.1644,0.2643,0.2434
484,4.556,0.2466,0.1644,0.2643,0.2434
486,4.5753,0.2466,0.1644,0.2643,0.1786
488,4.5946,0.2466,0.1644,0.2643,0.1786
490,4.6139,0.2466,0.1644,0.2945,0.2434
492,4.6332,0.2466,0.1644,0.2945,0.2434
494,4.6526,0.2466,0.1644,0.2945,0.2434
496,4.6719,0.2466,0.1644,0.2945,0.2434
498,4.6912,0.2466,0.1644,0.2643,0.2434
500,4.7105,0.2466,0.1644,0.2643,0.2434
502,4.7298,0.2466,0.1644,0.2945,0.2434
504,4.7491,0.2466,0.1644,0.2945,0.2434
506,4.7684,0.2466,0.1714,0.2643,0.2434
508,4.7877,0.2617,0.1888,0.2945,0.2434
510,4.807,0.2466,0.1714,0.2643,0.2214
512,4.8263,0.2466,0.1644,0.2643,0.2534
514,4.8456,0.2466,0.1644,0.2643,0.2534
516,4.8649,0.2466,0.1644,0.2945,0.2534
518,4.8842,0.2466,0.2055,0.2945,0.2534
520,4.9035,0.2466,0.2055,0.2643,0.2534
522,4.9228,0.2466,0.1714,0.3224,0.2534
524,4.9421,0.2571,0.2055,0.3224,0.2534
526,4.9614,0.2571,0.1714,0.3224,0.2534
528,4.9807,0.2571,0.1714,0.3224,0.2534
530,5.0,0.2466,0.1714,0.3224,0.2534
532,5.0192,0.2466,0.1714,0.3224,0.2534
534,5.0384,0.2571,0.2055,0.3224,0.2534
536,5.0576,0.2571,0.1714,0.3224,0.2534
538,5.0767,0.2877,0.1714,0.3224,0.2534
540,5.0959,0.2877,0.1714,0.3224,0.2534
542,5.1151,0.2571,0.1714,0.2643,0.2214
544,5.1342,0.2877,0.1714,0.3071,0.2214
546,5.1534,0.3290,0.2516,0.3822,0.2534
548,5.1726,0.2571,0.1714,0.3356,0.2534
550,5.1918,0.2877,0.1714,0.3356,0.2534
552,5.2109,0.2877,0.1714,0.3356,0.2534
554,5.2301,0.2571,0.1714,0.3356,0.2534
556,5.2493,0.2571,0.1714,0.3356,0.2534
558,5.2684,0.2571,0.1714,0.3356,0.2534
560,5.2876,0.2571,0.1714,0.3356,0.2534
562,5.3068,0.2571,0.2368,0.3356,0.2534
564,5.326,0.2571,0.2368,0.3356,0.2534
566,5.3451,0.3158,0.2368,0.3356,0.2534
568,5.3643,0.3158,0.2368,0.3356,0.2534
570,5.3835,0.3158,0.2368,0.3356,0.2534
572,5.4026,0.3288,0.2368,0.3356,0.2534
574,5.4218,0.3288,0.2368,0.3356,0.2534
576,5.441,0.3288,0.2368,0.3356,0.2534
578,5.4602,0.3288,0.2368,0.3490,0.2534
580,5.4793,0.3288,0.2055,0.3356,0.2534
582,5.4985,0.3288,0.2055,0.3356,0.2534
584,5.5177,0.3288,0.2368,0.3356,0.2434
586,5.5368,0.3288,0.2368,0.3356,0.2534
588,5.556,0.3288,0.2466,0.3356,0.2534
590,5.5752,0.3288,0.2466,0.3356,0.2534
592,5.5944,0.3288,0.2466,0.3356,0.2534
594,5.6135,0.3288,0.2466,0.3356,0.2534
